,sentence,nmb_sent,author,title
0,    * ЧАСТЬ ПЕРВАЯ КАНДИДАТ *       - Ну так что мужики?,1,Евгений Кукаркин,Депутат
1,Начнем компанию  по  моим  выборам?,2,Евгений Кукаркин,Депутат
2,"-  сказал  я, выливая остатки из бутылки в стакан.",3,Евгений Кукаркин,Депутат
3,- Попробуем...  Конечно!,4,Евгений Кукаркин,Депутат
4,"- нестройно загалдели мужики, прикладываясь к разбитым и грязным пивным кружкам или пол литровым баночкам  с  отгрызенными краями, наполненными мутно-коричневой жидкостью.",5,Евгений Кукаркин,Депутат
5,Меня  уже  как  месяц  выперли  с  работы.,6,Евгений Кукаркин,Депутат
6,"Формулировка, ""по сокращению штатов"", повисла надо мной, как дамоклов меч.",7,Евгений Кукаркин,Депутат
7,Ни одна приличная  организация не  берет  меня  с  такой формулировкой.,8,Евгений Кукаркин,Депутат
8,"Везде требуются строители, работяги технических специальностей, просто работяги, а инженеры по оптике  почему-то не нужны.",9,Евгений Кукаркин,Депутат
9,"Пошатавшись по пивным и кабачкам, я пришел к выводу, что пора идти в  политику,  тем  более что все злачные заведения политизированы настолько, что одна пивная за демократов -  куда  не  пускают  коммунистов,  другая  за коммунистов  -  куда  не  пускают  демократов, третьи - нейтральны, где бьют физиономии и демократам,  и  коммунистам.",10,Евгений Кукаркин,Депутат
