,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Сначала страх...
1,.,2,Евгений Кукаркин,Сначала страх...
2,"Господи, до чего же мы долго летим.",3,Евгений Кукаркин,Сначала страх...
3,"Все оживлены, болтают, а мне тошно.. Со мной   сидит   сержант   Копылов,  здоровенный  парень  из  Удмуртии.",4,Евгений Кукаркин,Сначала страх...
4,Он.,5,Евгений Кукаркин,Сначала страх...
5,"механник-водитель, служит последний год и  сейчас,  развалившись  в  кресле,.",6,Евгений Кукаркин,Сначала страх...
6,храпит и ему хоть бы что.,7,Евгений Кукаркин,Сначала страх...
7,"А мне хочется выть..      - Пристегните  ремни,-  говорит  коротконогая  стюардесса,  беспрерывно.",8,Евгений Кукаркин,Сначала страх...
8,"крутящая задом перед нашим лейтенантом..      Я толкаю сержанта, он вздрагивает и протерев кулаком глаза, спрашивает..      - Что, прилетели?.",9,Евгений Кукаркин,Сначала страх...
9,- Пристегни ремни.,10,Евгений Кукаркин,Сначала страх...
10,Спускаемся..      - Вот сволочь.,11,Евгений Кукаркин,Сначала страх...
11,Прервал на интересном.,12,Евгений Кукаркин,Сначала страх...
12,Только с бабой познакомился  и  ты.,13,Евгений Кукаркин,Сначала страх...
13,"тут как тут..      Мы  спускаемся  и  вот  самолет  вздрогнул,  коснувшись  бетонки,  и мы.",14,Евгений Кукаркин,Сначала страх...
