,word,lemma,pos,nmb_text,nmb_sent,nmb_word
0,``,``,,1,1,1
1,из,из,PREP,1,1,2
2,прежних,прежний,ADJF,1,1,3
3,моих,мой,ADJF,1,1,4
4,поучений,поучение,NOUN,1,1,5
5,вы,вы,NPRO,1,1,6
6,могли,мочь,VERB,1,1,7
7,вывести,вывести,INFN,1,1,8
8,что,что,CONJ,1,1,9
9,мужчина,мужчина,NOUN,1,1,10
10,дурак,дурак,NOUN,1,1,11
11,теперь,теперь,ADVB,1,1,12
12,вам,вы,NPRO,1,1,13
13,известно,известно,PRED,1,1,14
14,что,что,CONJ,1,1,15
15,женщина,женщина,NOUN,1,1,16
16,дьявольская,дьявольский,ADJF,1,1,17
17,дура,дура,NOUN,1,1,18
18,'','',,1,1,19
19,марк,марк,NOUN,1,1,20
20,твен,твен,NOUN,1,1,21
21,``,``,,1,1,22
22,письма,письмо,NOUN,1,1,23
23,с,с,PREP,1,1,24
24,земли,земля,NOUN,1,1,25
25,письмо,письмо,NOUN,1,2,1
26,восьмое,восьмой,ADJF,1,2,2
27,'','',,1,2,3
28,большинство,большинство,NOUN,1,2,4
29,фамилий,фамилия,NOUN,1,2,5
30,названных,назвать,PRTF,1,2,6
31,здесь,здесь,ADVB,1,2,7
32,лиц,лицо,NOUN,1,2,8
33,изменены,изменить,PRTS,1,2,9
34,почти,почти,ADVB,1,3,1
35,всё,всё,PRCL,1,3,2
36,приведённые,привести,PRTF,1,3,3
37,факты,факт,NOUN,1,3,4
38,соответствуют,соответствовать,VERB,1,3,5
39,действительности,действительность,NOUN,1,3,6
40,автор,автор,NOUN,1,4,1
41,приносит,приносить,VERB,1,4,2
42,извинения,извинение,NOUN,1,4,3
43,людям,человек,NOUN,1,4,4
44,так,так,CONJ,1,4,5
45,или,или,CONJ,1,4,6
46,иначе,иначе,ADVB,1,4,7
47,изображённым,изобразить,PRTF,1,4,8
48,в,в,PREP,1,4,9
49,романе,роман,NOUN,1,4,10
50,вместо,вместо,PREP,1,5,1
51,вступления,вступление,NOUN,1,5,2
52,повсюду,повсюду,ADVB,1,5,3
53,царило,царить,VERB,1,5,4
54,ликование,ликование,NOUN,1,5,5
55,прорвавшие,прорвать,PRTF,1,6,1
56,берлинскую,берлинский,ADJF,1,6,2
57,стену,стена,NOUN,1,6,3
58,люди,человек,NOUN,1,6,4
