,sentence,nmb_sent,author,title,nmb_text
0,"       ""Из прежних моих поучений      вы могли вывести, что      мужчина - дурак; теперь вам известно,      что женщина - дьявольская дура""      Марк Твен      ""Письма с земли.",1,Чингиз Абдуллаев,Измена в имени Твоем,1
1,"Письмо восьмое""       Большинство фамилий названных здесь лиц изменены.",2,Чингиз Абдуллаев,Измена в имени Твоем,1
2,Почти все приведенные факты  соответствуют действительности.,3,Чингиз Абдуллаев,Измена в имени Твоем,1
3,"Автор приносит  извинения людям,  так или иначе изображенным в романе.",4,Чингиз Абдуллаев,Измена в имени Твоем,1
4,ВМЕСТО ВСТУПЛЕНИЯ       Повсюду царило ликование.,5,Чингиз Абдуллаев,Измена в имени Твоем,1
5,"Прорвавшие  Берлинскую стену люди  веселились прямо у  Берлинских ворот, столько  десятилетий  служивших символом  раздела немецкой  нации.",6,Чингиз Абдуллаев,Измена в имени Твоем,1
6,"Ненавистную Стену крушили, к восторгу собравшихся, прямо на глазах.",7,Чингиз Абдуллаев,Измена в имени Твоем,1
7,"Били  кирками, молотками,  просто руками.",8,Чингиз Абдуллаев,Измена в имени Твоем,1
8,"Молодые  парни  и девушки танцевали  на  Стене, размахивая  руками.",9,Чингиз Абдуллаев,Измена в имени Твоем,1
9,"В эту  ночь  два Берлина,  бывшие столько лет разными  городами, наконец,  объединились.",10,Чингиз Абдуллаев,Измена в имени Твоем,1
0,              ...В  современных  условиях   преступные  организации   н  отдельные индивидуумы все чаще прибегают к применению новейших технических средств для совершения  преступлений  и их сокрытия.,1,Чингиз Абдуллаев,Почти невероятное убийство,10
1,"Они  идут  на любые ухищрения,  их методы  становятся все более разнообразными, что, соответственно, затрудняет работу  правоохранительных   служб,  вызывая,  новые,   ранее  не  известные трудности.",2,Чингиз Абдуллаев,Почти невероятное убийство,10
2,Криминалистам  необходимо   детально  исследовать  эти   методы преступников и умело их классифицировать.,3,Чингиз Абдуллаев,Почти невероятное убийство,10
3,Из   доклада   Постоянного   комитета   экспертов   по   предупреждению преступности и борьбе с ней при Экономическом и социальном совете ООН.,4,Чингиз Абдуллаев,Почти невероятное убийство,10
4,Часть первая       ИСЧЕЗНУВШИЙ УБИЙЦА         На Пятой  авеню Манхэттена вспыхнули  огни.,5,Чингиз Абдуллаев,Почти невероятное убийство,10
5,"Неоновая  реклама весело заплясала на зданиях, словно собираясь хвалить город ярким фейерверком своих красок.",6,Чингиз Абдуллаев,Почти невероятное убийство,10
0,        Она глядела на меня с гневом и презрением.,1,Евгений Кукаркин,Кристалл,100
1,"- Простите, но я нечаянно.",2,Евгений Кукаркин,Кристалл,100
2,"Она сходила с автобуса и я, идя за ней, нечаянно наступил на ее длинную юбку, которая удачно легла на ступеньки под мои  ноги.",3,Евгений Кукаркин,Кристалл,100
3,"Юбка  порвалась,  по всей длинные, вдоль левого бедра.",4,Евгений Кукаркин,Кристалл,100
4,Девушка придерживала его рукой.,5,Евгений Кукаркин,Кристалл,100
